OTU,LogMaxMean,Class,LDA,pValue
OTU10685,2.54404,-,,
OTU130,3.07743,-,,
OTU2964,3.22775,-,,
OTU45,3.16614,Disturbed,2.67754,4.83E-05
OTU14323,2.24384,-,,
OTU310,2.92845,Natural,2.5031,0.00855594
OTU1075,2.2878,-,,
OTU341,2.69168,-,,
OTU7056,2.14755,-,,
OTU52380,2.30273,-,,
OTU2754,3.05853,-,,
OTU1517,2.36172,-,,
OTU234,2.95249,Natural,2.69953,1.00E-07
OTU1454,2.27152,-,,
OTU33066,2.81011,-,,
OTU1435,2.57074,-,,
OTU8577,3.06274,Natural,2.56596,9.56E-05
OTU55944,2.15347,-,,
OTU188,2.83525,-,,
OTU32354,2.58273,-,,
OTU304,2.38915,-,,
OTU1458,2.30986,-,,
OTU35139,2.21801,-,,
OTU725,2.10748,-,,
OTU260,2.71538,-,,
OTU1274,2.51508,-,,
OTU519,2.41507,-,,
OTU1347,2.54494,-,,
OTU770,2.53212,-,,
OTU177,2.72363,Natural,2.36104,0.0443554
OTU32244,2.53058,-,,
OTU578,2.52613,-,,
OTU481,2.21038,-,,
OTU33,3.47079,Disturbed,3.25351,2.01E-08
OTU561,2.28577,-,,
OTU959,2.18569,-,,
OTU1215,2.27524,-,,
OTU385,2.31592,-,,
OTU756,2.77709,-,,
OTU5635,2.17293,-,,
OTU35262,2.91702,Disturbed,2.3712,0.029696
OTU211,2.5422,-,,
OTU472,2.29558,-,,
OTU1491,2.69601,Natural,2.77259,0.000142949
OTU61866,2.48213,-,,
OTU1409,2.20839,-,,
OTU1203,2.56846,-,,
OTU60280,2.14215,-,,
OTU36,3.28388,Disturbed,3.14585,5.55E-16
OTU251,2.24507,-,,
OTU672,2.17873,-,,
OTU1187,2.02414,-,,
OTU581,2.18886,-,,
OTU18259,2.09908,-,,
OTU1154,2.20165,-,,
OTU1334,2.3696,-,,
OTU7110,2.33962,-,,
OTU967,2.05319,-,,
OTU5038,2.25651,-,,
OTU18,3.63363,-,,
OTU705,2.47407,-,,
OTU18743,2.70172,-,,
OTU28815,3.10005,-,,
OTU7984,2.75472,Natural,2.90971,3.49E-05
OTU2318,2.34663,-,,
OTU463,2.67851,Natural,2.5753,1.10E-06
OTU837,2.4476,-,,
OTU734,2.36887,-,,
OTU22578,2.1732,-,,
OTU960,2.29658,-,,
OTU13074,2.15832,-,,
OTU1134,2.43412,-,,
OTU17983,2.18735,-,,
OTU611,2.21973,-,,
OTU9304,2.75964,-,,
OTU15056,2.35982,-,,
OTU356,2.33328,-,,
OTU1507,2.20883,-,,
OTU695,2.49187,-,,
OTU736,2.18494,-,,
OTU19159,2.35412,-,,
OTU803,2.49273,-,,
OTU43248,2.17171,-,,
OTU41453,2.51049,-,,
OTU16060,2.35076,-,,
OTU3498,2.07274,-,,
OTU569,2.52999,-,,
OTU1520,2.27925,-,,
OTU1106,2.39771,-,,
OTU866,2.34409,-,,
OTU1558,2.26963,-,,
OTU240,2.22825,-,,
OTU9397,2.79687,-,,
OTU20310,2.59674,-,,
OTU6144,2.74383,-,,
OTU337,2.6542,-,,
OTU340,2.69038,-,,
OTU290,2.54997,-,,
OTU12079,2.2547,-,,
OTU31371,2.84095,-,,
OTU2643,2.34662,-,,
OTU17638,2.42541,-,,
OTU10052,2.46673,-,,
OTU96,3.15546,-,,
OTU800,2.57034,Natural,2.85475,0.000105174
OTU25074,2.37096,-,,
OTU449,2.6771,Natural,2.6902,4.61E-09
OTU27514,2.58472,-,,
OTU4001,2.56537,-,,
OTU876,2.26806,-,,
OTU219,2.79787,-,,
OTU127,2.98977,-,,
OTU40863,2.69586,-,,
OTU48023,2.20464,-,,
OTU295,2.24307,-,,
OTU1193,2.56296,-,,
OTU325,2.43011,-,,
OTU514,2.4001,-,,
OTU8591,2.27048,-,,
OTU46586,2.2839,-,,
OTU14,3.56031,Disturbed,3.52666,3.78E-06
OTU998,2.38842,-,,
OTU689,2.74457,-,,
OTU6268,2.84104,-,,
OTU979,2.22506,-,,
OTU210,2.31792,-,,
OTU114,2.53552,-,,
OTU266,2.504,-,,
OTU18483,2.15344,-,,
OTU955,2.4729,-,,
OTU771,2.35999,-,,
OTU6699,2.2897,-,,
OTU7527,2.26546,-,,
OTU913,2.17735,-,,
OTU1036,2.65878,Natural,2.63125,7.39E-05
OTU61577,2.35175,-,,
OTU729,2.31189,-,,
OTU775,2.53043,-,,
